Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Saint Vincent and the Grenadines,Americas,1922,1732.47,40,36.06,0,12,10.82,1,0.9,0,Community transmission
Saint Martin,Americas,1777,4596.6,28,72.43,0,14,36.21,0,0,0,Community transmission
Isle of Man,Europe,1590,1869.88,0,0,0,29,34.1,0,0,0,No cases
Bonaire,Americas,1557,7444.42,23,109.97,1,17,81.28,1,4.78,0,Community transmission
Lao People's Democratic Republic,Western Pacific,1417,19.48,345,4.74,55,1,0.01,1,0.01,0,Sporadic cases
Mauritius,Africa,1288,101.28,47,3.7,0,17,1.34,0,0,0,Clusters of cases
Bhutan,South-East Asia,1257,162.91,113,14.64,10,1,0.13,0,0,0,Clusters of cases
Antigua and Barbuda,Americas,1240,1266.22,9,9.19,2,32,32.68,0,0,0,Clusters of cases
Saint Barthélemy,Americas,994,10055.64,6,60.7,0,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,822,1275.05,0,0,0,14,21.72,0,0,0,Community transmission
Other,Other,746,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,669,1369.08,1,2.05,0,1,2.05,0,0,0,Sporadic cases
Cayman Islands,Americas,548,833.84,3,4.56,0,2,3.04,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,454,4036.99,1,8.89,0,7,62.24,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,231,52.8,3,0.69,1,3,0.69,0,0,0,Clusters of cases
British Virgin Islands,Americas,219,724.28,3,9.92,0,1,3.31,0,0,0,Clusters of cases
Dominica,Americas,175,243.09,1,1.39,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,170,295.36,2,3.47,0,2,3.47,0,0,0,Pending
Fiji,Western Pacific,161,17.96,36,4.02,9,3,0.33,1,0.11,0,Sporadic cases
Grenada,Americas,161,143.08,0,0,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,124,43.43,0,0,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,109,726.57,14,93.32,0,0,0,0,0,0,Clusters of cases
Falkland Islands (Malvinas),Americas,63,1808.79,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,45,84.6,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,25,431.41,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
